Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,528",12.9,12.1,13.8,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,01,BO1,CAT1,DIABETE3,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,403,7.4,6.4,8.4,"1,027",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,02,BO1,CAT1,DIABETE3,RESP046,"(64.84507995700051, -147.72205903599973)"
2014,AZ,Arizona,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"2,024",10.1,9.4,10.7,"1,032",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,04,BO1,CAT1,DIABETE3,RESP046,"(34.865970280000454, -111.76381127699972)"
2014,AR,Arkansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,966,12.8,11.6,13.9,"1,032",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,05,BO1,CAT1,DIABETE3,RESP046,"(34.74865012400045, -92.27449074299966)"
2014,CA,California,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,980,10.3,9.5,11.1,"1,031",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,06,BO1,CAT1,DIABETE3,RESP046,"(37.63864012300047, -120.99999953799971)"
2014,CO,Colorado,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,189",7.3,6.8,7.8,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,08,BO1,CAT1,DIABETE3,RESP046,"(38.843840757000464, -106.13361092099967)"
2014,CT,Connecticut,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,880,9.2,8.4,10,"1,028",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,09,BO1,CAT1,DIABETE3,RESP046,"(41.56266102000046, -72.64984095199964)"
2014,DE,Delaware,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,653,11.1,9.9,12.2,"1,029",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,10,BO1,CAT1,DIABETE3,RESP046,"(39.008830667000495, -75.57774116799965)"
2014,DC,District of Columbia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,541,8.4,7.2,9.7,"1,025",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,11,BO1,CAT1,DIABETE3,RESP046,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,357",11.2,10.4,12,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,12,BO1,CAT1,DIABETE3,RESP046,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,048",11.6,10.6,12.5,"1,031",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,13,BO1,CAT1,DIABETE3,RESP046,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,775,9.8,8.8,10.7,"1,033",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,15,BO1,CAT1,DIABETE3,RESP046,"(21.304850435000446, -157.85774940299973)"
2014,ID,Idaho,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,578,7.6,6.8,8.5,"1,027",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,16,BO1,CAT1,DIABETE3,RESP046,"(43.682630005000476, -114.3637300419997)"
2014,IL,Illinois,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,625,10.1,9.1,11.1,"1,029",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,17,BO1,CAT1,DIABETE3,RESP046,"(40.48501028300046, -88.99771017799969)"
2014,IN,Indiana,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,653",10.7,10,11.3,"1,031",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,18,BO1,CAT1,DIABETE3,RESP046,"(39.766910452000445, -86.14996019399968)"
2014,IA,Iowa,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,000",9.5,8.7,10.2,"1,031",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,19,BO1,CAT1,DIABETE3,RESP046,"(42.46940091300047, -93.81649055599968)"
2014,KS,Kansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,768",10.3,9.8,10.9,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,20,BO1,CAT1,DIABETE3,RESP046,"(38.34774030000045, -98.20078122699965)"
2014,KY,Kentucky,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"2,012",12.5,11.6,13.4,"1,033",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,21,BO1,CAT1,DIABETE3,RESP046,"(37.645970271000465, -84.77497104799966)"
2014,LA,Louisiana,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,992,11.3,10.4,12.1,"1,033",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,22,BO1,CAT1,DIABETE3,RESP046,"(31.31266064400046, -92.44568007099969)"
2014,ME,Maine,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,086",9.5,8.8,10.2,"1,025",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,23,BO1,CAT1,DIABETE3,RESP046,"(45.254228894000505, -68.98503133599962)"
2014,MD,Maryland,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,781",10.1,9.3,10.9,"1,033",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,24,BO1,CAT1,DIABETE3,RESP046,"(39.29058096400047, -76.60926011099963)"
2014,MA,Massachusetts,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"2,053",9.7,9,10.4,"1,032",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,25,BO1,CAT1,DIABETE3,RESP046,"(42.27687047000046, -72.08269067499964)"
2014,MI,Michigan,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,127",10.4,9.6,11.1,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,26,BO1,CAT1,DIABETE3,RESP046,"(44.6613195430005, -84.71439026999968)"
2014,MN,Minnesota,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,581",8.1,7.7,8.6,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,27,BO1,CAT1,DIABETE3,RESP046,"(46.35564873600049, -94.79420050299967)"
2014,MS,Mississippi,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,763,13,11.8,14.2,"1,025",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,28,BO1,CAT1,DIABETE3,RESP046,"(32.745510099000455, -89.53803082499968)"
2014,MO,Missouri,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,125",11.1,10.1,12.1,"1,032",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,29,BO1,CAT1,DIABETE3,RESP046,"(38.635790776000476, -92.56630005299968)"
2014,MT,Montana,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,927,8.8,7.9,9.6,"1,026",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,30,BO1,CAT1,DIABETE3,RESP046,"(47.06652897200047, -109.42442064499971)"
2014,NE,Nebraska,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"2,627",9.2,8.6,9.7,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,31,BO1,CAT1,DIABETE3,RESP046,"(41.6410409880005, -99.36572062299967)"
2014,NV,Nevada,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,456,9.6,8.3,10.9,"1,031",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,32,BO1,CAT1,DIABETE3,RESP046,"(39.493240390000494, -117.07184056399967)"
2014,NH,New Hampshire,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,750,9.2,8.2,10.1,"1,028",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,33,BO1,CAT1,DIABETE3,RESP046,"(43.65595011300047, -71.50036091999965)"
2014,NJ,New Jersey,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,619",9.7,9,10.4,"1,033",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,34,BO1,CAT1,DIABETE3,RESP046,"(40.13057004800049, -74.27369128799967)"
2014,NM,New Mexico,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,207",11.5,10.6,12.5,"1,031",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,35,BO1,CAT1,DIABETE3,RESP046,"(34.52088095200048, -106.24058098499967)"
2014,NY,New York,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,842,10,9.2,10.9,"1,031",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,36,BO1,CAT1,DIABETE3,RESP046,"(42.82700103200045, -75.54397042699964)"
2014,NC,North Carolina,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,980,10.8,10,11.6,"1,032",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,37,BO1,CAT1,DIABETE3,RESP046,"(35.466220975000454, -79.15925046299964)"
2014,ND,North Dakota,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,870,8.6,7.8,9.5,"1,014",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,38,BO1,CAT1,DIABETE3,RESP046,"(47.47531977900047, -100.11842104899966)"
2014,OH,Ohio,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,751",11.7,10.9,12.6,"1,032",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,39,BO1,CAT1,DIABETE3,RESP046,"(40.06021014100048, -82.40426005599966)"
2014,OK,Oklahoma,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,322",12,11.2,12.7,"1,033",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,40,BO1,CAT1,DIABETE3,RESP046,"(35.47203135600046, -97.52107021399968)"
2014,OR,Oregon,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,638,9,8.1,9.8,"1,028",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,41,BO1,CAT1,DIABETE3,RESP046,"(44.56744942400047, -120.15503132599969)"
2014,PA,Pennsylvania,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,583",11.2,10.5,11.9,"1,030",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,42,BO1,CAT1,DIABETE3,RESP046,"(40.79373015200048, -77.86070029399963)"
2014,RI,Rhode Island,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,807,9.5,8.6,10.3,"1,027",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,44,BO1,CAT1,DIABETE3,RESP046,"(41.70828019300046, -71.52247031399963)"
2014,SC,South Carolina,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,794",12,11.3,12.7,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,45,BO1,CAT1,DIABETE3,RESP046,"(33.998821303000454, -81.04537120699968)"
2014,SD,South Dakota,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,864,9.1,8,10.2,"1,029",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,46,BO1,CAT1,DIABETE3,RESP046,"(44.353130053000484, -100.3735306369997)"
2014,TN,Tennessee,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,881,13,11.8,14.2,"1,029",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,47,BO1,CAT1,DIABETE3,RESP046,"(35.68094058000048, -85.77449091399967)"
2014,TX,Texas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"2,323",11,10.2,11.8,"1,034",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,48,BO1,CAT1,DIABETE3,RESP046,"(31.827240407000488, -99.42677020599967)"
2014,UT,Utah,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,304",7.1,6.7,7.6,"1,033",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,49,BO1,CAT1,DIABETE3,RESP046,"(39.360700171000474, -111.58713063499971)"
2014,VT,Vermont,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,567,7.9,7.1,8.6,"1,025",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,50,BO1,CAT1,DIABETE3,RESP046,"(43.62538123900049, -72.51764079099962)"
2014,VA,Virginia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,203",9.7,9,10.4,"1,032",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,51,BO1,CAT1,DIABETE3,RESP046,"(37.54268067400045, -78.45789046299967)"
2014,WA,Washington,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,167",8.9,8.2,9.6,"1,033",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,53,BO1,CAT1,DIABETE3,RESP046,"(47.52227862900048, -120.47001078999972)"
2014,WV,West Virginia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,001",14.1,13.1,15.1,"1,030",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,54,BO1,CAT1,DIABETE3,RESP046,"(38.66551020200046, -80.71264013499967)"
2014,WI,Wisconsin,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,859,9,8.1,9.8,"1,029",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,55,BO1,CAT1,DIABETE3,RESP046,"(44.39319117400049, -89.81637074199966)"
2014,WY,Wyoming,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,775,8.4,7.4,9.4,"1,028",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,56,BO1,CAT1,DIABETE3,RESP046,"(43.23554134300048, -108.10983035299967)"
2014,GU,Guam,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,316,10.8,9.3,12.2,"1,023",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,66,BO1,CAT1,DIABETE3,RESP046,"(13.444304, 144.793731)"
2014,PR,Puerto Rico,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,"1,197",15.7,14.6,16.7,974,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,72,BO1,CAT1,DIABETE3,RESP046,"(18.220833, -66.590149)"
2014,UW,All States and DC (median) **,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,51,10,,,"1,022",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,98,BO1,CAT1,DIABETE3,RESP046,
2014,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,Overall,Overall,53,10.1,,,"1,023",%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,99,BO1,CAT1,DIABETE3,RESP046,
